"","Site_ID","Round","Plant_gen_sp","Pollinator_gen_sp","Out","Pollinator_id","Pollinator_sex","Frequency"
"120","ConventodelaLuz",3,"Teucrium fruticans","Platynochaetus setosus","transect","BF421","male",2
"121","ConventodelaLuz",3,"Rosmarinus officinalis","Apis mellifera","transect","no_captured","worker",56
"122","ConventodelaLuz",3,"Retama sp","Apis mellifera","transect","no_captured","worker",3
"123","ConventodelaLuz",3,"Retama sp","Bombus terrestris","transect","BF207","worker",4
"124","ConventodelaLuz",3,"Lavandula stoechas","Apis mellifera","transect","no_captured","worker",4
"125","ConventodelaLuz",3,"Cistus ladanifer","Apis mellifera","transect","no_captured","worker",30
"126","ConventodelaLuz",3,"Cistus ladanifer","Tropinota squalida","transect","BF520",NA,1
"127","ConventodelaLuz",3,"Cistus ladanifer","Oxythyrea funesta","transect","BF518",NA,1
"128","ConventodelaLuz",3,"Retama sp","Anthophora retusa","transect","BF589","male",7
"129","Esparragal",3,"Lavandula stoechas","Apis mellifera","transect","no_captured","worker",5
"130","Esparragal",3,"Lavandula stoechas","Eucera collaris","transect","BF567","male",4
"131","LaRocina",3,"Rosmarinus officinalis","Apis mellifera","transect","no_captured","worker",21
"132","LaRocina",3,"Halimium commutatum","Apis mellifera","transect","no_captured","worker",15
"133","LaRocina",3,"Halimium commutatum","Heriades crenulatus","transect","BF24","male",4
"134","LaRocina",3,"Halimium commutatum","Lasioglossum malachurum","transect","BF75","female",2
"135","LaRocina",3,"Rosmarinus officinalis","Xylocopa cantabrita","transect","no_captured",NA,3
"136","LaRocina",3,"Halimium commutatum","Malachius morpho1","transect","BF538",NA,1
"137","LaCunya",3,"Rosmarinus officinalis","Apis mellifera","transect","no_captured","worker",3
"138","LaCunya",3,"Halimium commutatum","Lasioglossum sp","transect","BF39",NA,1
"139","LaCunya",3,"Cerinthe gymnandra","Anthophora retusa","transect","BF597","female",NA
"140","Urbanizaciones",3,"Rosmarinus officinalis","Apis mellifera","transect","no_captured","worker",16
"141","Urbanizaciones",3,"Rosmarinus officinalis","Osmia submicans","transect","BF40","male",2
"142","Urbanizaciones",3,"Rosmarinus officinalis","Bombus terrestris","transect","BF206","worker",12
"143","Urbanizaciones",3,"Cistus salvifolius","Malachius morpho1","transect","BF541",NA,1
"144","Elpozo",3,"Rosmarinus officinalis","Apis mellifera","transect","no_captured","worker",34
"145","Elpozo",3,"Rosmarinus officinalis","Bombylius torquatus","transect","BF356","female",3
"146","Elpozo",3,"Rosmarinus officinalis","Bombylius torquatus","transect","BF357","female",2
"147","Elpozo",3,"Cistus ladanifer","Apis mellifera","transect","no_captured","worker",11
"148","Elpozo",3,"Cistus ladanifer","Bombus terrestris","transect","captured","worker",2
"149","Elpozo",3,"Cistus ladanifer","Apis mellifera","transect","no_captured","worker",4
"150","Elpozo",3,"Cistus ladanifer","Andrena hispania","transect","BF696","male",1
"151","Elpozo",3,"Rosmarinus officinalis","Dasypoda crassicornis","transect","BF361","male",2
"152","Elpozo",3,"Rosmarinus officinalis","Bombylius morpho1","transect","BF361B","female",2
"153","Aznalcazar",3,"Cistus ladanifer","Merodon sp","transect","no_captured",NA,3
"154","Aznalcazar",3,"Cistus ladanifer","Apis mellifera","transect","no_captured","worker",3
"155","Aznalcazar",3,"Teucrium fruticans","Apis mellifera","transect","no_captured","worker",22
"156","Aznalcazar",3,"Teucrium fruticans","Eucera elongatula","transect","BF550","male",1
"157","Aznalcazar",3,"Teucrium fruticans","Andrena sp","transect","no_captured",NA,1
"158","Aznalcazar",3,"Cistus salvifolius","Eucera collaris","transect","BF561","male",4
"159","Aznalcazar",3,"Cistus salvifolius","Apis mellifera","transect","BF225","worker",6
"160","Aznalcazar",3,"Lavandula stoechas","Apis mellifera","transect","no_captured","worker",5
"161","Aznalcazar",3,"Asphodelus fistulosus","Calliphora sp","transect","no_captured",NA,2
"162","Aznalcazar",3,"Cistus crispus","Eucera elongatula","transect","BF553","female",3
"163","Villamanriquesur",3,"Cistus salvifolius","Merodon sp","transect","no_captured",NA,2
"164","Villamanriquesur",3,"Cistus salvifolius","Calliphora sp","transect","no_captured",NA,3
"165","Villamanriquesur",3,"Cistus salvifolius","Eucera bolivari","transect","BF569","male",7
"166","Villamanriquesur",3,"Cistus salvifolius","Apis mellifera","transect","no_captured","worker",3
"167","Villamanriquesur",3,"Cistus salvifolius","Lasioglossum malachurum","transect","BF49","female",1
"168","Villamanriquesur",3,"Cistus salvifolius","Eucera sp","transect","no_captured",NA,3
"169","Villamanriquesur",3,"Cistus salvifolius","Eucera collaris","transect","BF565","male",1
"170","Villamanriquesur",3,"Lavandula stoechas","Nomada sp","transect","no_captured",NA,3
"171","Villamanriquesur",3,"Cistus salvifolius","Empis sp","transect","no_captured",NA,1
"172","Villamanriqueeste",2,"Rosmarinus officinalis","Apis mellifera","transect","no_captured","worker",5
"173","Villamanriqueeste",2,"Cistus ladanifer","Eristalis sp","transect","no_captured",NA,1
"174","Villamanriqueeste",2,"Rosmarinus officinalis","Lasioglossum malachurum","transect","BF27",NA,1
"175","Villamanriqueeste",2,"Cistus ladanifer","Apis mellifera","transect","no_captured","worker",4
"176","Villamanriqueeste",2,"Cistus ladanifer","Vespula germanica","transect","BF651","worker",2
"177","Villamanriqueeste",2,"Cistus ladanifer","Lasioglossum sp","transect","no_captured",NA,2
"178","Pinodelcuervo",3,"Cistus salvifolius","Pelecocera tricincta","transect","BF438","male",1
"179","Pinodelcuervo",3,"Halimium commutatum","Musca sp","transect","no_captured",NA,2
"180","Pinodelcuervo",3,"Cistus ladanifer","Andrena sp","transect","PERDIDO",NA,1
"181","Pinodelcuervo",3,"Halimium commutatum","Andrena sp","transect","no_captured","female",1
"182","Pinodelcuervo",3,"Cistus ladanifer","Eristalis sp","out","no_captured",NA,2
"183","Pinodelcuervo",3,"Cistus ladanifer","Andrena sp","out","PERDIDO",NA,1
"184","Pinodelcuervo",3,"Lavandula pedunculata","Lasioglossum sexnotatum","transect","BF59","female",1
"185","PinaresdeHinojos",3,"Diplotaxis virgata","Colletes acutus","transect","BF165","male",1
"186","PinaresdeHinojos",3,"Diplotaxis virgata","Colletes sp","transect","no_captured","female",1
"187","PinaresdeHinojos",3,"Diplotaxis virgata","Tenthredo corynetes","transect","BF173","female",4
"188","PinaresdeHinojos",3,"Spartium junceum","Xylocopa cantabrita","transect","no_captured","female",2
"189","CotitodeSantaTeresa",3,"Lavandula stoechas","Bombus terrestris","transect","BF203","worker",3
"190","CotitodeSantaTeresa",3,"Lavandula stoechas","Apis mellifera","transect","no_captured","worker",56
"191","CotitodeSantaTeresa",3,"Lavandula stoechas","Merodon sp","transect","no_captured",NA,3
"192","CotitodeSantaTeresa",3,"Astragalus lusitanicus","Macroglossum stellatarum","transect","no_captured",NA,9
"193","CotitodeSantaTeresa",3,"Lavandula stoechas","Dasypoda crassicornis","transect","BF694","male",1
"194","CotitodeSantaTeresa",3,"Lavandula stoechas","Nomada sp","transect","PERDIDO",NA,1
"195","CotitodeSantaTeresa",3,"Lavandula stoechas","Eucera chrysopyga","transect","BF560","male",2
"196","CotitodeSantaTeresa",3,"Astragalus lusitanicus","Apis mellifera","transect","no_captured","worker",8
"197","Lasmulas",3,"Cistus ladanifer","Empis testacea","transect","no_captured",NA,1
"198","Lasmulas",3,"Lavandula stoechas","Apis mellifera","transect","no_captured","worker",13
"199","Lasmulas",3,"Rosmarinus officinalis","Apis mellifera","transect","no_captured","worker",16
"200","Lasmulas",3,"Cistus ladanifer","Lasioglossum malachurum","transect","BF69","female",1
"201","Lasmulas",3,"Cistus ladanifer","Lasioglossum malachurum","transect","BF73","female",2
"202","Lasmulas",3,"Lavandula stoechas","Anthophora hispanica","out","BF586","male",1
"203","Elpinar",2,"Cistus albidus","Apis mellifera","transect","no_captured","worker",11
"204","Elpinar",2,"Lavandula stoechas","Apis mellifera","transect","no_captured","worker",3
"205","Niebla",4,"Calendula arvensis","Lasioglossum malachurum","transect","BF18","female",2
"206","Niebla",4,"Lavandula pedunculata","Andrena rhyssonota","transect","BF272","male",1
"207","Niebla",4,"Calendula arvensis","Lasioglossum sp","transect","PERDIDO",NA,1
"208","Niebla",4,"Leontodon sp","Colletes sp","transect","no_captured",NA,1
"209","Niebla",4,"Lavandula pedunculata","Apis mellifera","transect","no_captured","worker",16
"210","Niebla",4,"Lupinus angustifolius","Xylocopa violacea","transect","no_captured",NA,1
"211","Niebla",4,"Lupinus angustifolius","Apis mellifera","transect","no_captured","worker",10
